x,y
0.0124944,6.1699e-06
0.0131755,6.45231e-06
0.0138565,6.69184e-06
0.0145375,6.95621e-06
0.0152185,7.2465e-06
0.0158996,7.58145e-06
0.0165805,7.99859e-06
0.0172615,8.44054e-06
0.0179425,8.88598e-06
0.0186235,9.32998e-06
0.0193045,9.67632e-06
0.0199855,9.94237e-06
0.0206665,1.01931e-05
0.0213476,1.04805e-05
0.0220285,1.08503e-05
0.0227095,1.12602e-05
0.0233905,1.16707e-05
0.0240716,1.20847e-05
0.0247525,1.24967e-05
0.0254335,1.28742e-05
0.0261144,1.32564e-05
0.0267955,1.36264e-05
0.0274765,1.39316e-05
0.0281575,1.42672e-05
0.0288385,1.46161e-05
0.0295196,1.49809e-05
0.0302005,1.5355e-05
0.0308815,1.57782e-05
0.0315625,1.61991e-05
0.0322436,1.66054e-05
0.0329245,1.70182e-05
0.0336055,1.74295e-05
0.0342865,1.78196e-05
0.0349675,1.81773e-05
0.0356485,1.85179e-05
0.0363295,1.88784e-05
0.0370105,1.93106e-05
0.0376916,1.97385e-05
0.0383725,2.01693e-05
0.0390535,2.05927e-05
0.0397345,2.09907e-05
0.0404156,2.13625e-05
0.0410966,2.17292e-05
0.0417775,2.21035e-05
0.0424585,2.2503e-05
0.0431396,2.28782e-05
0.0438206,2.32766e-05
0.0446491,2.37634e-05
0.0454991,2.43263e-05
0.0463497,2.48856e-05
0.0473486,2.55096e-05
0.0483683,2.60567e-05
0.0495364,2.66605e-05
0.0507262,2.73432e-05
0.0520646,2.81248e-05
0.0534244,2.89785e-05
0.0547849,2.98848e-05
0.0561457,3.08176e-05
0.0575067,3.1676e-05
0.0588677,3.24822e-05
0.0602287,3.32468e-05
0.0615897,3.40103e-05
0.0629506,3.47915e-05
0.0643116,3.56312e-05
0.0656726,3.64957e-05
0.0670336,3.73695e-05
0.0683946,3.82071e-05
0.0697556,3.90688e-05
0.0711169,3.94612e-05
0.072479,3.99375e-05
0.0726569,3.9695e-05
0.0736124,3.85857e-05
0.0749447,3.47471e-05
0.0763088,2.8801e-05
0.0776754,1.93023e-05
0.0790435,6.32574e-06
0.0804124,-1.05433e-05
0.0817818,-3.14122e-05
0.0831513,-5.64819e-05
0.0845209,-8.57802e-05
0.0858906,-0.000119473
0.0872601,-0.00015746
0.0886296,-0.000199821
0.0899989,-0.000246627
0.0913682,-0.000297894
0.0927374,-0.0003536
0.0941065,-0.000413845
0.0954755,-0.00047867
0.0968442,-0.000548044
0.0982127,-0.000621953
0.099581,-0.00070039
0.101096,-0.00079241
0.102633,-0.000890768
0.104316,-0.00100442
0.106021,-0.00112505
0.107727,-0.00125149
0.109432,-0.00138434
0.111138,-0.00152292
0.112844,-0.00166803
0.114257,-0.00179453
0.115914,-0.00195094
0.11762,-0.00211995
0.119327,-0.00230017
0.121035,-0.00249084
0.122741,-0.00269232
0.124447,-0.00290475
0.126151,-0.00312822
0.127854,-0.00336282
0.129556,-0.00360852
0.131255,-0.00386536
0.132954,-0.00413334
0.13465,-0.00441248
0.136344,-0.00470289
0.138037,-0.00500459
0.139727,-0.00531754
0.141415,-0.00564175
0.143101,-0.00597732
0.144784,-0.00632416
0.146465,-0.00668226
0.148144,-0.00705152
0.14982,-0.00743209
0.151494,-0.00782389
0.153164,-0.00822689
0.154832,-0.00864112
0.156497,-0.00906659
0.158159,-0.00950329
0.159818,-0.00995111
0.161474,-0.01041
0.163126,-0.0108801
0.164776,-0.0113614
0.166422,-0.0118537
0.168204,-0.0124004
0.170004,-0.0129656
0.171939,-0.0135885
0.173893,-0.0142314
0.175842,-0.0148878
0.177925,-0.0156054
0.180025,-0.0163441
0.182121,-0.0170978
0.184348,-0.0179164
0.186591,-0.0187578
0.188829,-0.0196149
0.191062,-0.0204873
0.193288,-0.0213749
0.195508,-0.0222776
0.197722,-0.0231952
0.19993,-0.0241279
0.202131,-0.0250757
0.204326,-0.0260383
0.206514,-0.0270158
0.208695,-0.0280082
0.210869,-0.0290155
0.213036,-0.0300376
0.215196,-0.0310745
0.217349,-0.0321259
0.219494,-0.0331919
0.221632,-0.0342727
0.223763,-0.0353679
0.225886,-0.0364776
0.228001,-0.0376017
0.230109,-0.0387404
0.232208,-0.0398934
0.2343,-0.0410605
0.236383,-0.0422419
0.238459,-0.0434375
0.240526,-0.0446473
0.242584,-0.045871
0.244634,-0.0471088
0.246676,-0.0483606
0.248709,-0.0496263
0.250733,-0.0509057
0.252748,-0.0521988
0.254755,-0.0535057
0.256872,-0.054906
0.259,-0.0563339
0.261238,-0.0578581
0.263486,-0.0594116
0.265841,-0.0610639
0.268207,-0.0627469
0.270677,-0.0645307
0.273156,-0.0663458
0.275623,-0.0681784
0.278078,-0.0700281
0.280521,-0.0718945
0.282951,-0.0737775
0.285367,-0.0756768
0.287771,-0.0775925
0.290162,-0.0795244
0.29254,-0.0814724
0.294904,-0.0834363
0.297255,-0.085416
0.299593,-0.0874117
0.301917,-0.0894232
0.304228,-0.0914501
0.306525,-0.0934925
0.308808,-0.0955503
0.311077,-0.0976235
0.313332,-0.0997117
0.315573,-0.101815
0.3178,-0.103933
0.320013,-0.106066
0.322313,-0.108314
0.324617,-0.110595
0.327007,-0.112993
0.329399,-0.115426
0.331776,-0.117875
0.334137,-0.12034
0.336481,-0.12282
0.338809,-0.125317
0.341121,-0.127828
0.343416,-0.130355
0.345694,-0.132897
0.347955,-0.135453
0.3502,-0.138025
0.352427,-0.140611
0.354638,-0.143211
0.356832,-0.145826
0.359008,-0.148456
0.361168,-0.151099
0.36331,-0.153757
0.365435,-0.156428
0.367543,-0.159113
0.369633,-0.161812
0.371706,-0.164524
0.373761,-0.16725
0.375884,-0.170104
0.378004,-0.172992
0.380106,-0.175894
0.382273,-0.178927
0.384434,-0.181994
0.386577,-0.185076
0.3887,-0.188172
0.390804,-0.191281
0.392887,-0.194404
0.394951,-0.19754
0.396995,-0.200689
0.399019,-0.203851
0.401023,-0.207026
0.403006,-0.210213
0.40497,-0.213413
0.406913,-0.216625
0.408836,-0.21985
0.410738,-0.223086
0.412621,-0.226335
0.414483,-0.229595
0.416324,-0.232867
0.418145,-0.23615
0.419945,-0.239445
0.421725,-0.242751
0.423483,-0.246068
0.425222,-0.249396
0.426939,-0.252734
0.428636,-0.256084
0.430311,-0.259444
0.431966,-0.262814
0.4336,-0.266195
