x,y,p_xx,p_xy,p_yy
0.565162,-0.131934,475.373,-16.7358,57.2441
0.569064,-0.135441,475.97,-17.1832,57.7463
0.572941,-0.139009,476.558,-17.6315,58.2592
0.57664,-0.142495,477.134,-18.0806,58.7827
0.58033,-0.146057,477.7,-18.5303,59.317
0.583803,-0.149493,478.255,-18.9802,59.8623
0.587316,-0.153049,478.799,-19.4301,60.4182
0.590767,-0.156629,479.333,-19.8797,60.9848
0.594073,-0.160139,479.856,-20.3288,61.5621
0.597249,-0.163598,480.368,-20.7771,62.1504
0.600315,-0.167013,480.869,-21.2244,62.7493
0.603335,-0.170462,481.359,-21.6704,63.3591
0.606225,-0.173848,481.838,-22.1148,63.9798
0.609073,-0.177265,482.307,-22.5574,64.6109
0.611856,-0.180683,482.766,-22.9979,65.2522
0.614577,-0.184108,483.214,-23.4362,65.9041
0.617182,-0.187471,483.652,-23.8719,66.5664
0.619756,-0.190875,484.08,-24.305,67.2386
0.622284,-0.194297,484.498,-24.7352,67.9206
0.624669,-0.197598,484.907,-25.1622,68.6123
0.626936,-0.200818,485.305,-25.5858,69.3143
0.629195,-0.204109,485.693,-26.0056,70.0262
0.631299,-0.207254,486.071,-26.4214,70.7482
0.633389,-0.210459,486.439,-26.8331,71.4798
0.635395,-0.213614,486.798,-27.2405,72.221
0.6376,-0.217176,487.147,-27.6431,72.972
0.639222,-0.219878,487.486,-28.0402,73.7336
0.641008,-0.222924,487.816,-28.4329,74.5032
0.642759,-0.22599,488.138,-28.8207,75.2815
0.644404,-0.228942,488.451,-29.2033,76.0683
0.646017,-0.231918,488.756,-29.5805,76.8638
0.647603,-0.234923,489.052,-29.9519,77.6678
0.649034,-0.23771,489.34,-30.3175,78.4802
0.650431,-0.24051,489.619,-30.6768,79.301
0.651746,-0.243226,489.89,-31.0298,80.1301
0.652976,-0.245842,490.153,-31.3764,80.9671
0.654165,-0.248447,490.408,-31.7165,81.8119
0.655565,-0.251609,490.656,-32.0498,82.6642
0.656393,-0.25355,490.895,-32.3748,83.5254
0.657406,-0.255979,491.128,-32.6946,84.392
0.658397,-0.258431,491.355,-33.0073,85.2656
0.659355,-0.26088,491.574,-33.3127,86.146
0.660224,-0.263174,491.787,-33.6108,87.0331
0.661034,-0.265386,491.993,-33.9013,87.9268
0.661823,-0.267619,492.193,-34.184,88.827
0.66258,-0.269841,492.387,-34.4586,89.7334
0.663246,-0.271871,492.574,-34.7253,90.6459
0.663849,-0.273781,492.756,-34.9838,91.5642
0.664435,-0.275708,492.932,-35.2344,92.488
0.664964,-0.277516,493.103,-35.4768,93.4171
0.665476,-0.279341,493.269,-35.7108,94.3515
0.665924,-0.281013,493.429,-35.9361,95.291
0.666358,-0.282702,493.585,-36.1529,96.2353
0.666741,-0.284262,493.736,-36.361,97.1844
0.667107,-0.285827,493.882,-36.56,98.138
0.667417,-0.287234,494.024,-36.7498,99.096
0.667714,-0.288646,494.162,-36.9308,100.058
0.667995,-0.290059,494.297,-37.103,101.024
0.66823,-0.291311,494.427,-37.2662,101.993
0.668468,-0.29266,494.555,-37.4209,102.966
0.66866,-0.293825,494.679,-37.566,103.942
0.668818,-0.294838,494.8,-37.7027,104.92
0.668966,-0.295858,494.919,-37.83,105.902
0.669102,-0.29688,495.034,-37.9476,106.886
0.669201,-0.297686,495.147,-38.0555,107.873
0.669282,-0.29842,495.258,-38.1536,108.862
0.669343,-0.299039,495.367,-38.242,109.854
0.669398,-0.299658,495.474,-38.3207,110.847
0.669432,-0.300106,495.579,-38.3896,111.841
0.669462,-0.300558,495.683,-38.449,112.837
0.669482,-0.30091,495.786,-38.4989,113.835
0.669498,-0.301262,495.888,-38.5391,114.833
0.669505,-0.301467,495.989,-38.5697,115.832
0.669509,-0.301671,496.089,-38.5908,116.831
0.669509,-0.30166,496.189,-38.6024,117.831
0.669509,-0.301649,496.289,-38.604,118.831
0.669511,-0.301509,496.389,-38.5958,119.831
0.669515,-0.301258,496.49,-38.5779,120.831
0.669523,-0.301018,496.591,-38.5502,121.83
0.669539,-0.300636,496.692,-38.5131,122.828
0.669559,-0.300252,496.795,-38.4662,123.826
0.669583,-0.299868,496.898,-38.4096,124.822
0.669624,-0.29931,497.003,-38.3431,125.817
0.669712,-0.298286,497.11,-38.267,126.811
0.669724,-0.298169,497.22,-38.1732,127.801
0.669815,-0.29732,497.33,-38.078,128.791
0.669914,-0.296478,497.442,-37.9731,129.778
0.670036,-0.295538,497.557,-37.8586,130.764
0.670185,-0.294475,497.674,-37.7347,131.746
0.670343,-0.293434,497.795,-37.6012,132.726
0.670534,-0.292261,497.918,-37.4583,133.703
0.670739,-0.291086,498.045,-37.3058,134.676
0.670956,-0.28992,498.175,-37.1437,135.646
0.671238,-0.288495,498.309,-36.9722,136.612
0.671534,-0.287083,498.447,-36.7911,137.574
0.671883,-0.285515,498.589,-36.6005,138.531
0.672274,-0.283844,498.736,-36.4007,139.485
0.672678,-0.282201,498.887,-36.1918,140.433
0.67314,-0.280411,499.044,-35.9741,141.377
0.673617,-0.278646,499.205,-35.7472,142.316
0.67416,-0.276724,499.372,-35.5116,143.249
0.674726,-0.274807,499.544,-35.2671,144.177
0.675312,-0.272902,499.722,-35.014,145.099
0.675999,-0.270763,499.906,-34.7525,146.015
0.676694,-0.268678,500.096,-34.4826,146.925
0.677466,-0.266445,500.292,-34.2048,147.829
0.678271,-0.264198,500.494,-33.919,148.727
0.679133,-0.261879,500.703,-33.6251,149.618
0.680024,-0.259566,500.919,-33.3235,150.502
0.681016,-0.257069,501.142,-33.0144,151.379
0.682049,-0.254559,501.373,-32.6976,152.248
0.683147,-0.25198,501.611,-32.3731,153.11
0.684346,-0.249255,501.857,-32.0412,153.964
0.685577,-0.246547,502.112,-31.702,154.809
0.686839,-0.24386,502.374,-31.3557,155.647
0.688203,-0.241044,502.646,-31.0025,156.476
0.689607,-0.238233,502.925,-30.6427,157.296
0.691105,-0.235322,503.214,-30.2766,158.108
0.692677,-0.232356,503.511,-29.9041,158.91
0.694288,-0.229405,503.818,-29.5257,159.704
0.696007,-0.226343,504.134,-29.1414,160.488
0.697814,-0.22322,504.459,-28.7514,161.262
0.699658,-0.220121,504.795,-28.356,162.027
0.70163,-0.216895,505.14,-27.9554,162.782
0.703618,-0.213734,505.495,-27.5497,163.527
0.705721,-0.210485,505.861,-27.1393,164.261
0.707965,-0.207109,506.237,-26.7243,164.985
0.710251,-0.203764,506.623,-26.3051,165.699
