x,y,p_xx,p_xy,p_yy
0.00563975,2.07883e-06,0.0165879,0,0.0165879
0.00557865,2.15695e-06,0.0151274,0,0.0151274
0.00555579,2.18987e-06,0.0172347,0,0.0172347
0.00551472,2.24449e-06,0.0155508,0,0.0155508
0.00548713,2.28705e-06,0.0176671,0,0.0176671
0.00545143,2.3453e-06,0.0158301,0,0.0158301
0.00543782,2.35885e-06,0.0146229,0,0.0146229
0.00541648,2.39537e-06,0.0167212,0,0.0167212
0.00541867,2.38521e-06,0.0152151,0,0.0152151
0.00540614,2.40701e-06,0.0173263,0,0.0173263
0.00547876,2.31753e-06,0.0156103,0,0.0156103
0.00549199,2.30815e-06,0.0177291,0,0.0177291
0.0055429,2.24017e-06,0.0158699,0,0.0158699
0.00556936,2.20255e-06,0.0146501,0,0.0146501
0.00558728,2.18307e-06,0.0167489,0,0.0167489
0.00557717,2.20032e-06,0.0152334,0,0.0152334
0.00558153,2.20087e-06,0.0173456,0,0.0173456
0.00554078,2.26068e-06,0.0156276,0,0.0156276
0.00552941,2.28115e-06,0.0177405,0,0.0177405
0.00551242,2.30163e-06,0.0158792,0,0.0158792
0.00555539,2.24415e-06,0.0146544,0,0.0146544
0.00556953,2.22467e-06,0.0168302,0,0.0168302
0.00549813,2.31886e-06,0.0152372,0,0.0152372
0.00550325,2.31581e-06,0.0142225,0,0.0142225
0.0054939,2.32406e-06,0.0163348,0,0.0163348
0.00554247,2.27044e-06,0.0149461,0,0.0149461
0.0055545,2.25593e-06,0.017052,0,0.017052
0.00556654,2.24141e-06,0.0192111,0,0.0192111
0.00562231,2.16215e-06,0.016804,0,0.016804
0.00563178,2.15744e-06,0.0152807,0,0.0152807
0.00564291,2.14138e-06,0.0173765,0,0.0173765
0.00573483,1.98271e-06,0.0156424,0,0.0156424
0.00577287,1.91852e-06,0.0177585,0,0.0177585
0.00574281,1.97166e-06,0.0158889,0,0.0158889
0.00575424,1.95274e-06,0.0180105,0,0.0180105
0.00575158,1.95849e-06,0.016062,0,0.016062
0.00575721,1.94924e-06,0.0181707,0,0.0181707
0.00580892,1.87174e-06,0.0161525,0,0.0161525
0.00579642,1.88981e-06,0.0148383,0,0.0148383
0.00580292,1.88308e-06,0.0169377,0,0.0169377
0.00574761,1.97115e-06,0.0153567,0,0.0153567
0.00570009,2.03214e-06,0.0143041,0,0.0143041
0.00567146,2.07185e-06,0.0164101,0,0.0164101
0.00565059,2.09446e-06,0.0150018,0,0.0150018
0.00565635,2.0932e-06,0.0140639,0,0.0140639
0.00564694,2.10472e-06,0.0161589,0,0.0161589
0.00567217,2.0818e-06,0.0148407,0,0.0148407
0.00567524,2.07961e-06,0.0169483,0,0.0169483
0.0056783,2.07742e-06,0.0191088,0,0.0191088
0.00562081,2.13141e-06,0.0167402,0,0.0167402
0.00564425,2.12414e-06,0.0152277,0,0.0152277
0.00564332,2.12912e-06,0.0173378,0,0.0173378
0.00567613,2.11885e-06,0.0156174,0,0.0156174
0.00568585,2.11893e-06,0.0177353,0,0.0177353
0.00570186,2.11659e-06,0.0158738,0,0.0158738
0.00568092,2.10935e-06,0.0146535,0,0.0146535
0.005678,2.10757e-06,0.016751,0,0.016751
0.00568273,2.10671e-06,0.0152345,0,0.0152345
0.00568252,2.10591e-06,0.017346,0,0.017346
0.00571434,2.10392e-06,0.0156229,0,0.0156229
0.00574739,2.10855e-06,0.0144841,0,0.0144841
0.00576502,2.11007e-06,0.0165814,0,0.0165814
0.00578263,2.11159e-06,0.0187279,0,0.0187279
0.00577691,2.10952e-06,0.0165043,0,0.0165043
0.00580229,2.10524e-06,0.0150713,0,0.0150713
0.00581702,2.10423e-06,0.0171784,0,0.0171784
0.00584164,2.10018e-06,0.0155139,0,0.0155139
0.00585887,2.09839e-06,0.0176297,0,0.0176297
0.00587612,2.09661e-06,0.0197994,0,0.0197994
0.00580148,2.09897e-06,0.0171672,0,0.0171672
0.00580451,2.09699e-06,0.0155081,0,0.0155081
0.00580351,2.0941e-06,0.017618,0,0.017618
0.00579589,2.09776e-06,0.0157987,0,0.0157987
0.00579498,2.0961e-06,0.0179162,0,0.0179162
0.00587258,2.05609e-06,0.0159898,0,0.0159898
0.00589924,2.03992e-06,0.018112,0,0.018112
0.00587827,2.04815e-06,0.016115,0,0.016115
0.00588746,2.03922e-06,0.0182409,0,0.0182409
0.00584938,2.055e-06,0.0161958,0,0.0161958
0.00580977,2.06884e-06,0.0148671,0,0.0148671
0.00579331,2.07166e-06,0.0169671,0,0.0169671
0.00584422,2.06852e-06,0.0153761,0,0.0153761
0.00586629,2.06713e-06,0.0143173,0,0.0143173
0.00588005,2.06712e-06,0.0164108,0,0.0164108
0.00590332,2.06458e-06,0.0150107,0,0.0150107
0.00593574,2.06207e-06,0.0140694,0,0.0140694
0.00595693,2.0609e-06,0.0161615,0,0.0161615
0.00600089,2.07254e-06,0.0148455,0,0.0148455
0.00603414,2.07981e-06,0.0169778,0,0.0169778
0.00608252,2.11841e-06,0.0153678,0,0.0153678
0.00613959,2.1728e-06,0.0143124,0,0.0143124
0.00617895,2.20922e-06,0.0164083,0,0.0164083
0.00613011,2.13625e-06,0.015009,0,0.015009
0.00610514,2.09558e-06,0.0140685,0,0.0140685
0.00610009,2.085e-06,0.0161625,0,0.0161625
0.00612114,2.0911e-06,0.0148454,0,0.0148454
0.00612751,2.09006e-06,0.0169541,0,0.0169541
0.0061395,2.09186e-06,0.015368,0,0.015368
0.00614809,2.0932e-06,0.017486,0,0.017486
0.00615671,2.09455e-06,0.0196594,0,0.0196594
0.00610726,2.06036e-06,0.0170802,0,0.0170802
0.00610012,2.05096e-06,0.0192308,0,0.0192308
0.00609689,2.05554e-06,0.0168182,0,0.0168182
0.00607185,2.02639e-06,0.0152784,0,0.0152784
0.00606225,2.01363e-06,0.0173847,0,0.0173847
0.00606761,2.02728e-06,0.0156479,0,0.0156479
0.00603015,1.97463e-06,0.0145281,0,0.0145281
0.00602171,1.96338e-06,0.016588,0,0.016588
0.00604221,1.99255e-06,0.0151271,0,0.0151271
0.00604343,1.99545e-06,0.0172344,0,0.0172344
0.00608125,2.04931e-06,0.0155497,0,0.0155497
0.00610007,2.0775e-06,0.0177232,0,0.0177232
0.00610851,2.09013e-06,0.019833,0,0.019833
0.00605482,1.99845e-06,0.0171886,0,0.0171886
0.00604893,1.98474e-06,0.0193366,0,0.0193366
0.00606086,2.01146e-06,0.0168844,0,0.0168844
0.00602243,1.9341e-06,0.015321,0,0.015321
0.00601098,1.90547e-06,0.0174268,0,0.0174268
0.0059994,1.87651e-06,0.0195853,0,0.0195853
0.00597845,1.83468e-06,0.0170368,0,0.0170368
0.00600707,1.91106e-06,0.0154207,0,0.0154207
0.00600809,1.92261e-06,0.0143466,0,0.0143466
0.00601033,1.92554e-06,0.0164378,0,0.0164378
0.00605248,2.03209e-06,0.0150284,0,0.0150284
0.00607019,2.06865e-06,0.0171356,0,0.0171356
0.00608177,2.10714e-06,0.0155023,0,0.0155023
0.00609293,2.13015e-06,0.0175982,0,0.0175982
0.00613451,2.23795e-06,0.0157858,0,0.0157858
0.00614378,2.26547e-06,0.0145936,0,0.0145936
0.0061596,2.30167e-06,0.0166916,0,0.0166916
0.00621453,2.42412e-06,0.0151957,0,0.0151957
0.00624475,2.48828e-06,0.0173065,0,0.0173065
0.00624734,2.49792e-06,0.0155972,0,0.0155972
0.00632463,2.57056e-06,0.014467,0,0.014467
0.00637068,2.62427e-06,0.0165771,0,0.0165771
0.00636434,2.62177e-06,0.015112,0,0.015112
0.00637992,2.63833e-06,0.0141382,0,0.0141382
0.0064006,2.66026e-06,0.016231,0,0.016231
0.00638514,2.65277e-06,0.0148916,0,0.0148916
0.00639321,2.66373e-06,0.0170009,0,0.0170009
0.00636485,2.63029e-06,0.0153983,0,0.0153983
0.00636301,2.62506e-06,0.0175154,0,0.0175154
0.0063732,2.65498e-06,0.0157324,0,0.0157324
0.00639603,2.68795e-06,0.0145581,0,0.0145581
0.00641028,2.70263e-06,0.0166576,0,0.0166576
0.00641848,2.71655e-06,0.0151732,0,0.0151732
0.00643188,2.72831e-06,0.0172851,0,0.0172851
0.00644527,2.74007e-06,0.0194504,0,0.0194504
0.00632167,2.71185e-06,0.0169558,0,0.0169558
0.0062192,2.70002e-06,0.0153661,0,0.0153661
