x,y,p_xx,p_xy,p_yy,landmark_detected
-0.0298534,0.0304302,0.0542041,0.0252818,0.0538392,0
-0.0297312,0.0304344,0.0542151,0.0252851,0.0538465,0
-0.0297043,0.0304353,0.0542253,0.0252861,0.0538489,0
-0.0297043,0.0304353,0.0542253,0.0252861,0.0538489,0
-0.0297043,0.0304353,0.0542253,0.0252861,0.0538489,0
-0.0296771,0.0304363,0.0542355,0.0252871,0.0538513,0
-0.0296594,0.0304368,0.0542456,0.0252878,0.0538533,0
-0.0296594,0.0304368,0.0542456,0.0252878,0.0538533,0
-0.0296521,0.0304371,0.0542557,0.0252883,0.0538547,0
-0.0296521,0.0304371,0.0542557,0.0252883,0.0538547,0
-0.0296441,0.0304373,0.0542657,0.0252888,0.0538561,0
-0.0296441,0.0304373,0.0542657,0.0252888,0.0538561,0
-0.0295423,0.0304407,0.0542766,0.0252916,0.0538624,0
-0.0295423,0.0304407,0.0542766,0.0252916,0.0538624,0
-0.0295423,0.0304407,0.0542766,0.0252916,0.0538624,0
-0.029404,0.0304452,0.0542877,0.0252954,0.0538706,0
-0.0293328,0.0304474,0.0542983,0.0252974,0.0538753,0
-0.0293328,0.0304474,0.0542983,0.0252974,0.0538753,0
-0.0293328,0.0304474,0.0542983,0.0252974,0.0538753,0
-0.0293025,0.0304484,0.0543085,0.0252985,0.0538779,0
-0.0292681,0.0304495,0.0543188,0.0252996,0.0538807,0
-0.0292681,0.0304495,0.0543188,0.0252996,0.0538807,0
-0.0291986,0.0304517,0.0543294,0.0253016,0.0538853,0
-0.0291986,0.0304517,0.0543294,0.0253016,0.0538853,0
-0.0290955,0.030455,0.0543403,0.0253045,0.0538916,0
-0.0289793,0.0304586,0.0543512,0.0253077,0.0538987,0
-0.0289793,0.0304586,0.0543512,0.0253077,0.0538987,0
-0.0289793,0.0304586,0.0543512,0.0253077,0.0538987,0
-0.0289793,0.0304586,0.0543512,0.0253077,0.0538987,0
-0.0287468,0.0304661,0.0543632,0.0253137,0.0539118,0
-0.0287181,0.0304671,0.0543734,0.0253148,0.0539143,0
-0.0287181,0.0304671,0.0543734,0.0253148,0.0539143,0
-0.0287181,0.0304671,0.0543734,0.0253148,0.0539143,0
-0.0287124,0.0304673,0.0543834,0.0253152,0.0539156,0
-0.0286804,0.0304683,0.0543937,0.0253163,0.0539182,0
-0.0286804,0.0304683,0.0543937,0.0253163,0.0539182,0
-0.0285167,0.0304735,0.054405,0.0253206,0.0539278,0
-0.0285167,0.0304735,0.054405,0.0253206,0.0539278,0
-0.0285167,0.0304735,0.054405,0.0253206,0.0539278,0
-0.0283596,0.0304786,0.0544163,0.0253248,0.0539369,0
-0.0283596,0.0304786,0.0544163,0.0253248,0.0539369,0
-0.0283478,0.030479,0.0544264,0.0253254,0.0539386,0
-0.0283478,0.030479,0.0544264,0.0253254,0.0539386,0
-0.0283272,0.0304797,0.0544366,0.0253262,0.0539406,0
-0.0283272,0.0304797,0.0544366,0.0253262,0.0539406,0
-0.0282995,0.0304806,0.0544468,0.0253272,0.0539431,0
-0.0282066,0.0304838,0.0544576,0.0253299,0.0539489,0
-0.0282066,0.0304838,0.0544576,0.0253299,0.0539489,0
-0.0281823,0.0304846,0.0544678,0.0253308,0.0539512,0
-0.0281823,0.0304846,0.0544678,0.0253308,0.0539512,0
-0.0281823,0.0304846,0.0544678,0.0253308,0.0539512,0
-0.0280349,0.0304896,0.054479,0.0253347,0.0539599,0
-0.0280349,0.0304896,0.054479,0.0253347,0.0539599,0
-0.027968,0.0304919,0.0544895,0.0253367,0.0539644,0
-0.027968,0.0304919,0.0544895,0.0253367,0.0539644,0
-0.0279591,0.0304922,0.0544996,0.0253372,0.0539658,0
-0.0278888,0.0304946,0.0545101,0.0253393,0.0539705,0
-0.0278888,0.0304946,0.0545101,0.0253393,0.0539705,0
-0.0277971,0.0304977,0.0545209,0.0253419,0.0539763,0
-0.0277971,0.0304977,0.0545209,0.0253419,0.0539763,0
-0.0277546,0.0304991,0.0545312,0.0253432,0.0539795,0
-0.0277546,0.0304991,0.0545312,0.0253432,0.0539795,0
-0.0276452,0.0305028,0.0545421,0.0253463,0.0539862,0
-0.0276452,0.0305028,0.0545421,0.0253463,0.0539862,0
-0.027626,0.0305035,0.0545523,0.025347,0.0539882,0
-0.0276046,0.0305042,0.0545624,0.0253479,0.0539904,0
-0.0276046,0.0305042,0.0545624,0.0253479,0.0539904,0
-0.0275616,0.0305056,0.0545728,0.0253492,0.0539936,0
-0.0275616,0.0305056,0.0545728,0.0253492,0.0539936,0
-0.027511,0.0305073,0.0545832,0.0253508,0.0539972,0
-0.027511,0.0305073,0.0545832,0.0253508,0.0539972,0
-0.0274112,0.0305106,0.054594,0.0253536,0.0540034,0
-0.0274112,0.0305106,0.054594,0.0253536,0.0540034,0
-0.0274112,0.0305106,0.054594,0.0253536,0.0540034,0
-0.0273523,0.0305126,0.0546045,0.0253553,0.0540075,0
-0.0272877,0.0305147,0.054615,0.0253573,0.0540119,0
-0.0272877,0.0305147,0.054615,0.0253573,0.0540119,0
-0.0272113,0.0305173,0.0546256,0.0253595,0.0540169,0
-0.0272113,0.0305173,0.0546256,0.0253595,0.0540169,0
-0.0271816,0.0305184,0.0546359,0.0253605,0.0540194,0
-0.0271816,0.0305184,0.0546359,0.0253605,0.0540194,0
-0.0271816,0.0305184,0.0546359,0.0253605,0.0540194,0
-0.0270528,0.0305228,0.0546469,0.025364,0.0540272,0
-0.0270156,0.030524,0.0546572,0.0253652,0.0540301,0
-0.0270156,0.030524,0.0546572,0.0253652,0.0540301,0
